Item,Quantity,Designator,Value,Description,Manufacturer,Manufacturer Part Number,Digikey Part Number
1,8,"C1, C2, C5, C15, C19, C20, C21, C37",0.1μF,CAP CER 0.1UF 10V X5R 0402,Murata Electronics,GRM155R61A104KA01D,490-1318-1-ND
2,3,"C3, C13, C14",1μF,CAP CER 1UF 10V X6S 0402,Murata Electronics,GRM155C81A105KA12D,490-12699-1-ND
3,1,C4,0.47μF,CAP CER 0.47UF 10V X5R 0402,Murata Electronics,GRM155R61A474KE15D,490-3264-1-ND
4,4,"C6, C7, C8, C36",4.7μF,CAP CER 4.7UF 10V X5R 0402,Murata Electronics,GRM155R61A475MEAAJ,490-GRM155R61A475MEAAJCT-ND
5,1,CN1,,CONN HDR 20POS SMD GOLD,Hirose Electric Co Ltd,DF17(2.0)-20DP-0.5V(57),H11128CT-ND
6,1,CN2,,CONN HEADER SMD R/A 3POS 1.3MM,JST Sales America Inc.,BM03B-ADHKS-GAN-ETB,455-BM03B-ADHKS-GAN-ETBCT-ND
7,2,"CN3, CN5",,CONN HEADER SMD R/A 2POS 1.5MM,JST Sales America Inc.,S2B-ZR-SM4A-TF,455-1693-1-ND
8,1,CN4,,CONN HEADER SMD 6POS 0.8MM,JST Sales America Inc.,BM06B-SURS-TF,455-3577-1-ND
9,1,D1,,DIODE SCHOTT 100V 150MA SOD123F,Diotec Semiconductor,BAT46W,4878-BAT46WCT-ND
10,1,Q2,,MOSFET P-CH 20V 4.2A SOT23,Diodes Incorporated,DMG2305UX-13,DMG2305UX-13DICT-ND
11,2,"R2, R3",10Ω,RES SMD 10 OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF10R0X,P10.0LCT-ND
12,1,R4,10kΩ,RES SMD 10K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1002X,P10.0KLCT-ND
13,1,R5,100kΩ,RES SMD 100K OHM 1% 1/10W 0402,Panasonic Electronic Components,ERJ-2RKF1003X,P100KLCT-ND
14,1,U1,,IMU ACCEL/GYRO/COMPI2C/SPI 24QFN,TDK InvenSense,ICM-20948,1428-1123-1-ND
15,2,"U2, U3",,IC MOTOR DRIVER PAR 8WSON,Texas Instruments,DRV8837DSGR,296-34806-1-ND
16,1,U4,,IC BATT CNTL LI-ION 1CEL SOT23-5,Microchip Technology,MCP73831T-2ACI/OT,MCP73831T-2ACI/OTCT-ND
17,1,U5,,IC REG LINEAR 1.8V 50MA SC70-5,Texas Instruments,TPS79718DCKR,296-11988-1-ND
18,1,U9,,IC TRANSLATOR BIDIR 16TSSOP,Texas Instruments,TXB0106PWR,296-23759-1-ND
19,1,U10,,IC OR CTRLR SRC SELECT TSOT23-6,Analog Devices Inc.,LTC4412IS6#TRPBF,505-LTC4412IS6#TRPBFCT-ND
20,1,U11,,IC MCU 32BIT 128KB FLSH 32UFQFPN,STMicroelectronics,STM32G071KBU6,497-18357-ND
